tenor_years,zcy_semi,zcy_annual,par_semi,par_annual
0.25,5.312318230121966,5.382870042567189,5.277503180348747,5.347133279895222
0.5,5.420800000000002,5.494262681600004,5.420800000000008,5.494262681600004
0.75,5.522708177771218,5.598958941813259,5.50898574994252,5.584858059925213
1.0,5.618499999999999,5.697418855625025,5.615760222836701,5.694602130037674
1.25,5.709279068792873,5.79076873750628,5.696711378206964,5.777842679523459
1.5,5.795277378409713,5.879240478141479,5.788340956478738,5.872103184049848
1.75,5.876611288081341,5.962947688659348,5.861225129078845,5.9471100291131895
2.0,5.953527123589929,6.042138336618241,5.941213707699801,6.029458758501227
2.25,6.026279524754704,6.117069637030914,6.006154963895252,6.096339707521081
2.5,6.095117095875269,6.187993226906352,6.076518839718087,6.168829042741719
2.75,6.160244611506582,6.255116145690587,6.134193874429917,6.228264710652653
3.0,6.221847501374657,6.318625967200564,6.196298822237896,6.292284119974045
3.25,6.280111110199869,6.378710599091009,6.247367288552281,6.344941283647443
3.5,6.335220782702593,6.435558338616554,6.302279583784139,6.401576403664611
3.75,6.38736022966884,6.489356156427739,6.347446784055502,6.4481719857465425
4.0,6.436688713385155,6.540266117367688,6.396096945693774,6.498372086040538
4.25,6.4833466756347935,6.588431135925954,6.436004003757058,6.539559372598025
4.5,6.527474074072306,6.63399386854151,6.479137293244586,6.584085343406376
4.75,6.569210866352247,6.677097194868753,6.514357939948059,6.620450088372487
5.0,6.608697010129166,6.717884200558388,6.552653971992147,6.659997157183795
5.25,6.646065422948726,6.756490886964017,6.583750150831201,6.692114565952623
5.5,6.681420861921029,6.793024323756303,6.617808426675917,6.727296897606383
5.75,6.714861044047289,6.827584441149437,6.645237285602318,6.755635232057222
6.0,6.746483686328719,6.860271291653475,6.675533506919913,6.786940375924955
6.25,6.776386505766532,6.891185040955361,6.69970121565262,6.811916206600155
6.5,6.804667219361943,6.920425959277576,6.726680898257305,6.839801488024744
6.75,6.831423544116164,6.948094413213934,6.747981722584699,6.86181986590555
7.0,6.856750222420328,6.974287781451993,6.772065691213042,6.886717875528303
7.25,6.880720012437956,6.999080782161848,6.790856421182828,6.906145748515646
7.5,6.903395818936675,7.022538003518952,6.8123796636926945,6.928400955398439
7.75,6.924840500205834,7.04472404008909,6.828929360834126,6.945515051372286
8.0,6.94511691453478,7.065703536926171,6.848171745766312,6.965415386415108
8.25,6.964287920212859,7.085541185801891,6.862732250411953,6.980474985264085
8.5,6.982416375529423,7.104301721632589,6.879959938432146,6.998294560318241
8.75,6.999565138773818,7.122049919103635,6.8927733112759775,7.011549121077576
9.0,7.01579706823539,7.138850589492063,6.908239481751358,7.027548913594428
9.25,7.03117046503156,7.154763860302404,6.919534602042041,7.039234499814184
9.5,7.045725401592039,7.169831017678652,6.93345751110447,7.053639593750183
9.75,7.059497393174608,7.184088651785214,6.943402663128509,7.063929764484356
10.0,7.072521955037052,7.1975733720482715,6.955939679561067,7.076902421625286
10.25,7.084834602437153,7.210321805796882,6.964674419950982,7.085941144390762
10.5,7.096470850632693,7.222370596967398,6.975972162306937,7.09763263133012
10.75,7.107466214881455,7.233756404870673,6.983630172487025,7.105557898452219
11.0,7.117856210441224,7.244515903022508,6.99382810056909,7.1161121793198445
11.25,7.127676352569779,7.254685778037251,7.0005372735880975,7.123056078885326
11.5,7.1369621565249055,7.264302728584049,7.009768021624676,7.132610140917173
11.75,7.145749137564384,7.27340346440688,7.015650569655269,7.138698951944011
12.0,7.154072810946,7.282024705406798,7.024040247482054,7.147383100977689
12.25,7.161965458516256,7.290199831588717,7.029210789472083,7.152735300279178
12.5,7.169446428476552,7.29794883370356,7.036865188671248,7.160658867880065
12.75,7.176531835617001,7.3052883585860595,7.041401296079326,7.16535462661041
13.0,7.183237794727725,7.312235057766725,7.048389619048743,7.172589109603522
13.25,7.18958042059884,7.318805587159494,7.052351815235121,7.17669098054976
13.5,7.1955758280204645,7.325016606762458,7.0587379135185255,7.183302365847877
13.75,7.2012401317827175,7.330884780371738,7.062183997952386,7.186870105004717
14.0,7.206589446675719,7.33642677530808,7.068028554694503,7.19292112381944
14.25,7.211639887489582,7.341659262156641,7.0710136922896085,7.196011778880984
14.5,7.2164075690144305,7.346598914519742,7.076374378393623,7.2015620642515765
14.75,7.220908606040379,7.351262408782344,7.078951185065684,7.204230059767047
15.0,7.225159113357546,7.355666423890872,7.083882800315318,7.209336289136847
15.25,7.229175205756053,7.359827641144845,7.0861014251975245,7.211633508718007
15.5,7.232972998026014,7.363762744001434,7.090656026814289,7.216349534040778
15.75,7.236568604957548,7.3674884178931865,7.092564231197442,7.218325399631609
16.0,7.239978141340776,7.371021350058493,7.0967912515156435,7.222702366684608
16.25,7.243216007598392,7.3743764529302425,7.098433576974347,7.2244029750911265
16.5,7.246289746683403,7.377561534415622,7.102373657260111,7.22848293617846
16.75,7.249205187181393,7.3805826267960395,7.103778307831095,7.229937473448134
17.0,7.251968157677948,7.3834457630779005,7.107456042588033,7.233745871081321
17.25,7.2545844867586515,7.386156976947444,7.10864382797647,7.234975870659044
17.5,7.257060003009089,7.388722302727269,7.112081694274,7.2385359593390985
17.75,7.259400535014845,7.3911477753342725,7.113072426065083,7.2395619244111975
18.0,7.261611911361503,7.393439430239557,7.1162917469101385,7.242895767477986
18.25,7.263699960634649,7.395603303429943,7.117104281816215,7.24373721521181
18.5,7.265670511419867,7.39764543137118,7.120125287006427,7.246865747263098
18.75,7.267529392302743,7.399571850972708,7.120777566565472,7.2475412494467095
19.0,7.269282431868858,7.401388599554526,7.123619447727933,7.250484332818075
19.25,7.270935458703801,7.403101714815397,7.124128535013173,7.251011553471631
19.5,7.272494301393153,7.404717234802627,7.126809495710153,7.25378802968053
19.75,7.273964788522501,7.406241197884156,7.127191609475038,7.254183760070498
20.0,7.275352748677428,7.407679642721643,7.129728911070401,7.256811496933802
20.25,7.276664010443521,7.409038608245755,7.129999457650596,7.257091688315831
20.5,7.277904402406363,7.410324133632784,7.132409461486812,7.259587623302588
20.75,7.279079753151538,7.411542258283399,7.1325830647031,7.259767417640317
21.0,7.280195891264632,7.412699021802593,7.134881271026582,7.262147597905688
21.25,7.281257948906327,7.413799742202598,7.134971504807912,7.262241050743956
21.5,7.282268272537704,7.41484685052074,7.137170546585341,7.264518555112942
21.75,7.283228512194938,7.415842056097044,7.1371856707694885,7.264534219017094
22.0,7.284140317914208,7.416787068341857,7.139292961841891,7.266716721829414
22.25,7.2850053397316925,7.417683596731517,7.139238847180874,7.266660675473635
22.5,7.285825227683567,7.418533350804424,7.141261124908141,7.268755151043482
22.75,7.28660163180601,7.419338040157597,7.141143339224211,7.268633159702564
23.0,7.2873362021352,7.420099374442568,7.143086979010828,7.270646207985121
23.25,7.288030588707316,7.4208190633621385,7.142910802819075,7.270463739661626
23.5,7.28868644155853,7.421498816666938,7.14478183874334,7.272401607551426
23.75,7.289305410725025,7.422140344152095,7.144552279523647,7.272163847710789
24.0,7.289889146242978,7.422745355654237,7.146356423121292,7.274032448437007
24.25,7.290439298148564,7.423315561048516,7.146078228425489,7.2737443135424185
24.5,7.290957516477962,7.423852670245656,7.147820885868879,7.275549244410051
24.75,7.291445451267351,7.424358393189379,7.147498555417339,7.2752153944165565
25.0,7.291904752552907,7.424834439853667,7.149184843292653,7.276961953101568
25.25,7.292337070370807,7.425282520240573,7.148822640188525,7.276586803040708
25.5,7.29274405475723,7.425704344377704,7.150457400042104,7.278280002616633
25.75,7.293127355748354,7.42610162231625,7.150059361210608,7.277867733382681
26.0,7.293488623380354,7.4264760641288285,7.1516471730087625,7.279512316226788
26.25,7.293829507689411,7.426829379907529,7.151217118951263,7.279066884657204
26.5,7.2941516587117015,7.42716327976245,7.15276231357642,7.2806673353627005
26.75,7.294456726483402,7.4274794738197425,7.1523038575152045,7.280192483690762
27.0,7.294746361040691,7.4277796722205025,7.153810528403228,7.281753041093975
27.25,7.295022009201102,7.428065374487902,7.153327019409166,7.281252238025693
27.5,7.2952843049076,7.428337237631166,7.154798581146025,7.282776437987959
27.75,7.295533678884503,7.428595708033869,7.154292162894961,7.2822519037751166
28.0,7.2957705618561315,7.428841232084271,7.155730835984608,7.2837420454772595
28.25,7.295995384546806,7.429074256175117,7.155203100437374,7.283195428958655
28.5,7.2962085776808445,7.429295226703392,7.156610922331367,7.284653622065451
28.75,7.296410571982568,7.429504590069902,7.1560633741626924,7.2840864817002915
29.0,7.296601798176297,7.42970279267916,7.15744227103058,7.285514720688435
29.25,7.29678268698635,7.4298902809391,7.156876332528634,7.284928529626389
29.5,7.296953669137047,7.430067501260873,7.15822812574691,7.286328700497502
29.75,7.297115175352708,7.430234900058608,7.157645141326287,7.285724851249187
30.0,7.297267636357653,7.430392923749252,7.158971553455452,7.287098737713427
30.25,7.2974114828762024,7.4305420187522175,7.158372793826668,7.286478546465136
30.5,7.2975471456326755,7.430682631489516,7.159675454130997,7.287827835652205
30.75,7.297675055351391,7.430815208385111,7.15906212016394,7.287192546264865
31.0,7.29779564275667,7.4309401958652765,7.160342569721653,7.288518834011093
31.25,7.297909338572832,7.431058040357885,7.159715796035542,7.287869621735554
31.5,7.298016573524197,7.431169188292763,7.160975492480989,7.2891744174907735
31.75,7.298117778335083,7.431274086101203,7.160336350789119,7.28851239243018
32.0,7.298213383729812,7.431373180215961,7.161576672723627,7.289797123821873
32.25,7.298303820432705,7.431466917071061,7.160926174957575,7.289123334165559
32.5,7.2983895191680785,7.431555743101814,7.162148426060925,7.290389351253257
32.75,7.298470910660255,7.431640104744663,7.161487527295854,7.289704786304885
33.0,7.298548425633552,7.4317204484368515,7.162692940166922,7.290953365554698
33.25,7.298622494812291,7.431797220616754,7.162022541366728,7.290258958574314
33.5,7.298693548920792,7.431870867723456,7.163212281117979,7.291491306578868
33.75,7.298762018683373,7.43194183619682,7.162533231717131,7.290787937455745
34.0,7.298828334824356,7.432010572477443,7.163708399345249,7.292005194422391
34.25,7.298892928068058,7.432077523006542,7.163021499681693,7.2912936921939675
34.5,7.298956229138803,7.432143134225999,7.164183135233896,7.292496935221826
34.75,7.299018668760906,7.432207852578232,7.163489138846082,7.291778080452005
35.0,7.299080677658691,7.432272124506101,7.1646382243994475,7.292968326615767
35.25,7.299080677658691,7.432272124506101,7.163924252784586,7.292228779533683
35.5,7.299080677658691,7.432272124506101,7.165048365337584,7.293393160531658
35.75,7.299080677658691,7.432272124506101,7.164328595526595,7.292647606088298
36.0,7.299080677658691,7.432272124506101,7.165441700212972,7.293800587110866
36.25,7.299080677658691,7.432272124506101,7.1647164147657785,7.293049318025813
36.5,7.299080677658691,7.432272124506101,7.165819003708723,7.294191408693496
36.75,7.299080677658691,7.432272124506101,7.16508846881167,7.293434700726387
37.0,7.299080677658691,7.432272124506101,7.166181008405078,7.294566384018131
37.25,7.299080677658691,7.432272124506101,7.165445475007856,7.293804497146139
37.5,7.299080677658691,7.432272124506101,7.166528407537855,7.294926231077992
37.75,7.299080677658691,7.432272124506101,7.165788112397722,7.294159410577183
38.0,7.299080677658691,7.432272124506101,7.166861857541676,7.295271629754407
38.25,7.299080677658691,7.432272124506101,7.166117024183627,7.294500107194368
38.5,7.299080677658691,7.432272124506101,7.167181980397398,7.295603224247715
38.75,7.299080677658691,7.432272124506101,7.16643281999801,7.294827218406885
39.0,7.299080677658691,7.432272124506101,7.167489365801212,7.2959216253234205
39.25,7.299080677658691,7.432272124506101,7.1667360780031135,7.295141343032507
39.5,7.299080677658691,7.432272124506101,7.167784573171125,7.296227412389578
39.75,7.299080677658691,7.432272124506101,7.167027346834322,7.295443049310002
40.0,7.299080677658691,7.432272124506101,7.168068133504946,7.296521135421363
