strip_id,type,cashflow_date,t_years,cashflow,spot_rate,discount_factor,pv,normalized_value,price_per_100
CS-2027-03-10,coupon,2027-03-10,0.4849315068493151,1867500.0,5.802818036867707,0.9726420013058386,1816408.9374386535,1799245.4106340935,96.34513577692601
CS-2027-09-10,coupon,2027-09-10,0.989041095890411,1867500.0,6.186683707998553,0.9415182669263269,1758285.3634849156,1741671.0552505627,93.2621716332296
CS-2028-03-10,coupon,2028-03-10,1.4876712328767123,1867500.0,6.718618727791181,0.9063689713625585,1692644.0540195778,1676650.0005919887,89.78045518564866
CS-2028-09-10,coupon,2028-09-10,1.9917808219178081,1867500.0,6.530723248792025,0.8798541988353611,1643127.716325037,1627601.5503713347,87.1540321483981
CS-2029-03-10,coupon,2029-03-10,2.4876712328767123,1867500.0,7.023947059561841,0.8422028116588739,1572813.750772947,1557951.9922704601,83.42447080430844
CS-2029-09-10,coupon,2029-09-10,2.9917808219178084,1867500.0,7.072671414665033,0.812253061274967,1516882.5919310008,1502549.3355318715,80.45779574467853
CS-2030-03-10,coupon,2030-03-10,3.4876712328767123,1867500.0,7.144494321913797,0.7828383111239242,1461950.5460239286,1448136.3509567066,77.54411517840464
CS-2030-09-10,coupon,2030-09-10,3.9917808219178084,1867500.0,7.280092933526383,0.7516825284989685,1403767.1219718237,1390502.7110075734,74.45797649304275
CS-2031-03-10,coupon,2031-03-10,4.487671232876712,1867500.0,7.183666656809473,0.728531303896,1360532.21002578,1347676.3323795418,72.16472998016287
CS-2031-09-10,coupon,2031-09-10,4.991780821917808,1867500.0,7.118520782891435,0.7052779079925611,1317106.4931761078,1304660.951792698,69.86136288046575
CS-2032-03-10,coupon,2032-03-10,5.49041095890411,1867500.0,7.326131212603437,0.673651236606272,1258043.684362213,1246156.2365233435,66.7285802689876
CS-2032-09-10,coupon,2032-09-10,5.994520547945205,1867500.0,7.390135093069272,0.6472551362928196,1208748.9670268407,1197327.3125370734,64.11391231791558
CS-2033-03-10,coupon,2033-03-10,6.49041095890411,1867500.0,7.447799983332448,0.6221278377419701,1161823.7369831293,1150845.4861934127,61.624925632846725
CS-2033-09-10,coupon,2033-09-10,6.994520547945205,1867500.0,7.372059718628865,0.6026828559074068,1125510.2334070823,1114875.1144854978,59.69880131113777
CS-2034-03-10,coupon,2034-03-10,7.49041095890411,1867500.0,7.504296778646058,0.5759042955769363,1075501.2719899286,1065338.6954193863,57.04624875070341
CS-2034-09-10,coupon,2034-09-10,7.994520547945205,1867500.0,7.570450386630467,0.5520880105485098,1031024.3596993419,1021282.0522986706,54.68712462108009
CS-2035-03-10,coupon,2035-03-10,8.490410958904109,1867500.0,7.6278427459003595,0.5296227343717964,989070.4564393298,979724.5779090066,52.461824787630874
CS-2035-09-10,coupon,2035-09-10,8.994520547945205,1867500.0,7.700064183901834,0.5068277288125371,946500.783557413,937557.1523990944,50.203863582280825
CS-2036-03-10,coupon,2036-03-10,9.493150684931507,1867500.0,7.660431862305828,0.4898602799448379,914814.0727969847,906169.8542314338,48.52315149833648
CS-2036-09-10,coupon,2036-09-10,9.997260273972604,1867500.0,7.650062019950932,0.47211514946175187,881675.0416198216,873343.958845536,46.765406096146506
CS-2037-03-10,coupon,2037-03-10,10.493150684931507,1867500.0,7.649343679716392,0.454895233561251,849516.8486756362,841489.6336016286,45.05968586889578
CS-2037-09-10,coupon,2037-09-10,10.997260273972604,1867500.0,7.699818344633114,0.4356675704364712,813609.18779011,805921.2697143691,43.15508807038121
CS-2038-03-10,coupon,2038-03-10,11.493150684931507,1867500.0,7.690876535357605,0.4200623361644572,784466.4127871238,777053.8692647741,41.60931026852874
CS-2038-09-10,coupon,2038-09-10,11.997260273972604,1867500.0,7.659865112545106,0.40583333114055065,757893.7459049784,750732.2915899652,40.19985497135021
CS-2039-03-10,coupon,2039-03-10,12.493150684931507,1867500.0,7.709289254348928,0.3886663240988778,725834.3602546543,718975.8399946359,38.49937563558961
CS-2039-09-10,coupon,2039-09-10,12.997260273972604,1867500.0,7.749815438132446,0.372231861390591,695143.0011469286,688574.4882491602,36.87145854078502
CS-2040-03-10,coupon,2040-03-10,13.495890410958904,1867500.0,7.76001613223829,0.35790895349937285,668394.9706600788,662079.2040072598,35.452701687135736
CS-2040-09-10,coupon,2040-09-10,14.0,1867500.0,7.759999999999989,0.34443371284712204,643229.9587420004,637151.980148737,34.11791058360038
PS-2040-09-10-7.4700,principal,2040-09-10,14.0,50000000.0,7.759999999999989,0.34443371284712204,17221685.6423561,17058955.291800186,34.11791058360037
